태영,백승빈,오주연,A,차주형,최강민(차주형),강경민(차주형),지나가는 1학년이니???,한재원,박세윤,현채원,김도현,박준서인척하는 한재원과 박세윤
,한녀 :  어쩌라구요? 아~  감주 오늘 여탕이네 시발,슨상님을 안 붙였잖아|0,러브하자성인용품,,,,"""씹새리"",",개섹,새뤼,조쟁이,,
,나도 75인치 사려고...요새 플스하는데 화면 좆만해보여서,아폰살돈은 없지만 저거 살만한 돈은 있는거지 하얀 콩나물 허세부리기도 좋고 딱이지 않냐?|0,러브호텔,,,,"""씹세"",",개섹히,새에끼,조지냐,,
,몇몇 쓰래기같은 댓글들은 더이상 상종안할랍니다.,우리나라도 조만간 저렇게될것같음|0,럭키성인몰,,,,"""씹쉐"",",개섺,새키,조진다,,
,"저게 틀린말이 아니면 요기요에 손님한테 빙신새끼, 네 다른데서 시켜쳐먹으세요~ 이런식으로 사장이 써놓은 댓글도 틀린말이 아니지. 개인 사업자로서 욕먹을 말임. 괜히 대기업에서 손님한테 아가리 안터는줄아냐??",마 설명을해라 지혼자 아는척하노|0,레드섹스tv,,,,"""씹스키"",",개셃,새X,조찐,,
,근데 브라는 왜 더 안까는거냐?,셀프 쓰레기통으로...|0,레이싱걸,,,,"""씹쌔"",",개셋키,색갸,  조질래,,
,조샌징이 조샌징 하네근거를 보여라 근거,근데 왜 아직까지 전광훈씨는 밖에서 설치는 거죠?|0,로리타,,,,"""씹이"",",개셐,색걸,존나,,
,개독들은 나보다더한 지옥갈꺼니까,니 아들래미가 술쳐먹고 아이들 치고 뺑소니 치는건데 실행 불가능한거 아니냐?|1,로리타.,,,,"""씹질"",",개셰리,색골,존나게,,
,좆메카지.개극혐ㅋㅋㅋ,대중이 까는거 무적권 ㅇㅂ|0,롤리타,,,,"""씹창"",",개솩,색광,존니,,
,ㅋㅋ미친놈 ㅋㅋㅋㅋㅋㅋ,데우다? 덥히다?|0,류미오,,,,"""씹탱"",",개쇄,색기,존만,,
,노가다 하루벌어 10만원 버는애들한테 5천원을 빼앗아버림 저 썅년은 송장될때까지 사면하면안됨,캬아~이게 낙수효과 맛이지|0,리얼섹스플레이,,,,"""씹퇭"",",개쇄기,색꺄, 존만한,,
,"나베,, 좀 더 버텨  개최한다고..  우리는 굿이나 보고 떡이나 칠께??ㅋㅋ",거기에 대구출신이면 완벽할껍니다.|0,리얼에로,,,,"""씹팔"",",개쇄끼,색끼,좀물,,
,하다보니 안되서 아시발 졋다 그래 하고 걍 쓰러진거가틈,면도 생각보다 말주변있고 똑똑하다 ㅋㅋㅋ 못생겻다고 무시할 존재가아님|0,마나보지,,,,"""씹할"",",개쇅,색남,좁년,,
,gov만 들어가면 무조건 다 공식싸이튼줄 착각하는 미드보고 미국배운 조선놈ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ. 어여가서 단어외워야지..??? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,그나마 조국이 말하면 그거 반대구나라고 생각하는 국민이 훨씬많음. |0,마니아섹스,,,,"""씹헐"",",개쇅끼,색녀,좆,,
,개돼지 대구민들 ㅜㅜ,구속 사유가 안된다고 생각은 안하냐??|0,만화보지,,,,"""아가리"",",개쇅키,색마,좁밥,,
,지금 시발 나라 굴러가는 방향이 저쪽인데 어쩌겠냐? ㅋㅋㅋ복지에 돈 퍼줄테니 알아서 타먹으라고 돈을 드리붓는데뭐 타먹어야지 ㅋㅋㅋ내가 안먹으면 남이 먹을건데 어차피 ㅋㅋㅋ,외국기자들은 자기한테 관심 좆도 없는거 아니까김치기자들 어딨나 찾아보고있노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ|1,망가,,,,"""아갈"",",개쇗,색스,좃까,,
,중요하지만 현상유지로 만족하고 쓰레기 청소부터,트럭기사들 존나무서운데 가끔보면 센스개지림|0,망가짱,,,,"""아갈빡"",",개쇠리,색쑤,좃또,,
,다른 일게이꺼 복사 붙여넣기 한거보소 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅁㅈㅎ,러시아인을 동양계라는 병신년은 진짜 처음 본다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ|1,모노섹스,,,,"""아갈이"",",개쇸,색쓰,좃만,,
,암페타민드립 존나 오랜만이네,다른 분들위해서 전 양보|0,모두모아성인용품,,,,"""아갈통"",",개쉐,색캬,좃밥,,
,일게이들은 빅픽처를 못그리는 븅신들임,근데 재밌음 게임은?|0,모모TV,,,,"""아구창"",",개쉐끼,색키,좃이,,
,뭔 개소리냐........ㅋㅋ,적자가 계속 되는데도 유지된다는 건 누가 뒤에서 그걸 메꿔준다는 거야.|0,몰래보기,,,,"""아구통"",",개쉐리,색할,좃찐,,
,못생긴 놈이 진지하게 기타 치는데 진짜 꼴보기 싫음,지랄 10만원은 해야지|1,몰래카메라,,,,"""아굴"",",개쉐키,색햐,좆같,,
,저 새끼 파보면,괜찮은 아웃풋임. 얼굴도 참하고.|0,몰래캠코더,,,,"""아날"",",개쉑,색히,좆까,,
,80 90년대 선생들 단골멘트인데 공부못하면 공장이나가ㅋㅋ 영상에서 저지랄했으니,존경 스롭넹 와우!!!!|0,몰카,,,,"""아닥"",",개쉑갸,샊꺄,좆나,,
,지랄병하고 앉아 있넹...,우리아빠 회사다녀요 이래야지|0,몰카365,,,,"""아헤가오"",",개쉑기,샤불년,좆또,,
,노가다 안한다고 친절하게 설명해줘도 끝까지 우기는거 봐라 ㅋㅋㅋ막무가내로 고향 바꿔버리는 틀딱새끼급 ㅋㅋㅋ고바노,지네엄마 소개하고잇노 ㅋㅋㅋ|1,몰카588,,,,"""애널"",",개쉑꺄,샤앙년,좆만,,
,이새끼가 남들 수준 운운하니까 존나웃기네,내용에 돈벌이 내용이 나오길래..선정도가 아니라 그거도그냥 범죄니까 사장새끼 18년형|1,몰카tv,,,,"""애무"",",개쉑끼,샵년,좆밥,,
,이런 저런 이유들이 있지만 환경적으로도  우리나라랑 비슷한 위치에 있는 나라들 특징이 동쪽부터 개발하는거다...편서풍이 부니까....개발이란게 결국 공장짓는건데공장만 지으면 되노??전기가 대량으로 필요하니 발전소도 지어야제??원자력 지으면 되지만 현재도 문씹쌔같은 머저리 새끼가 대통령 해처먹는데 과거엔 그런게 어딨노무적권 화력이지  매연 오지고 미세먼지 오지는데 편서풍 부는 나라서 서쪽을 개발한다???자살하겠단 소리지,쟨 진짜 좀 이상함이상해서 더 무서움김대중 노무현은 간첩질하는 와중에도눈치보면서 국익에 도움 되는 일 한두개는 했는데..|0,무료망가,,,,"""애미"",",개쉑캬,샹넘,좆이,,
,장난이라하면되지 ㅂㅅ아,일본이 더 위험해서|0,무료몰카,,,,"""애비"",",개쉑키,샹년,좆찐,,
,빨갱이소굴인정,키스해서 빼줘야자|1,무료성인,,,,"""앰창"",",개쉑히,샹놈,좇같,,
,지금 부들대는 부류=땜쟁이 or 자칭 기술직이라착각하는 노가다 가축들 ㅋㅋㅋㅋ,길냥이가 살아봤자 얼마나살겠노.ㅠ 잘해주진 못해도 괴롭히진말자 게이들아 ㅠ|1,무료성인동영상,,,,"""얌마"",",개쉢,샹늠,좇이,,
,근데 남자가 억지로 남자의 후장에 삽입이 가능함?그게 힘으로 제압했다 해도 괄약근 똭 힘주고 있어도 삽입이 되려나. 여자랑 다를듯 한데,정상|0,무료성인만화,,,,"""양넘"",",개쉨,성관계,좌식,,
,충청도 바보들이 자기 밥그릇 뺏긴거임,사회에서 대학 말하면 돈이 자동으로 나오누?|0,무료성인방송,,,,"""양년"",",개쉬,성교,주글,,
,맞는 말 해도 지랄 시발련들아,수학이라고 떠들래면 미분 적분정도는 메시드리볼해야하는거아이가|0,무료성인사이트,,,,"""양놈"",",개쉬끼,성매매,주글래,,
,제발 죠져주세요 서울 경기도권 짱개새끼들도 덤으로 날려주세용,솔직히 나도 성적 수치심 느꼈음|0,무료성인싸이트,,,,"""엄창"",",개쉬리,성섹스,주데이,,
,그냥 뒈져 ㅅ 벨 롬아.,팩트인데 뭘|0,무료성인엽기,,,,"""에미"",",개쉽,성욕구,주뎅,,
,초창기 야스오는 개사기아니였었나? ㅈㄴ 쌧던걸로기억하는데,일베에서 틀딱거리는 새끼들 = 전라도 대깨문 평균나이 50대이상지들이 노인인 줄 모르고 애들 노는데서 틀틀 거리는 거 존나 웃김ㅋㅋ|1,무료성인영화,,,,"""에비"",",개스끼,성인용품,주뎅이,,
,ㅋㅋㅋㅋ아니 적당히 뇌피셜이어야지 상식까지 뇌피셜 해버리면 어떡해,창렬이노|1,무료성인정보,,,,"""엠병"",",개스키,성체위,주둥아리,,
,따일 화산 따였뿟노이기,틀린말은 아닌데?뭐가 문제임?|0,무료섹스,,,,"""엠창"",",개습,성체험,주둥이,,
,오늘아침에도 뉴스댓글보니까 매크로 오지게 돌아가더만 팀이몇개나있을지모른다,"63,516|0",무료섹스동영상,,,,"""여물통"",",개습세,성추행,주접,,
,구청은 그나마 이용객이 많아 바쁘기라도 하지. 동네 주민센터가봐라. 존나 한가함.여간한 서류발급도 전부 무인기로 가능해서 일행직 공무원 자체가 불필요함. 존나 행정력 낭비임.이런 새끼들 싹 다 구청-시청 사회복지쪽으로 돌려야지. 정작 시청에선 업무과중 호소하다 자살하는 공무원도 있는 판에 복불복 존나 심하노이기,맛있겠다|0,무료섹스사이트,,,,"""염병"",",개습쌔,성충동,주접떨,,
,집팔은 ㅋㅋㅋㅋㅋ 존나 신기한 말이네보통 집판 이나 집판매한 이라고 하지않냐?,에휴 ㅋㅋㅋㅋ|0,무료야동,,,,"""염창"",",개싀기,성폭력,죽고잡,,
,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 팩폭 존나 쳐맞고 망신 당하더니 조용~하노. 착해졌네. 엌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,그만큼 검찰의 사법권한이 약해지는거고 반대로 경찰은 상당히 재량권이 강화된거임|0,무료야설,,,,"""엿같"",",개싀끼,성폭행,죽을래,,
,씹엠생오타쿠일뽕좆병신들이 지들인생좆망한걸 울분토하는 진짜감정쓰레기통으로 전락해버렸음,베들베들|0,무료포르노,,,,"""옘병"",",개싀밸,성행위,죽통,,
,누구긴 누구야 너지 씨발아 ㅁㅈㅎ,라고 해씀져..|0,무료포르노동영상,,,,"""옘빙"",",개싀킈,세게빨아,쥐랄,,
,고속도로에서 목숨 내놓고 운전하는 병신들 존나 많아보인다 ㄹㅇ좃도 안나가는 차로 미친듯이 삐대고 ㅈㄹ 하는새끼들부터추월차선도 아닌데 뒤에 바짝붙어서 따라오는 병신까지블박차주도 존나 병신같네앞차 브레이크 들어오는데 브레이크 안 밟고 멀뚱멀뚱 쳐 가고 앉았다 시야확보도 안되는데 씨벌 ㅋㅋ개꼬시노,몇 급인데? 공무원 개 땡보라고 오늘도 기사 떴드라. 뭐가 적성에 안맞는데??|0,무료헨타이,,,,"""오라질"",",개싀키,세꺄,쥐롤,,
,ㅋㅋㅋㅋㅋ 근대 넌 짤닮음 ㅅㄱ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"평균 학력 고졸따리, 양아치 새끼들 상대하려니까 개빡쳤나보네|1",무전망가,,,,"""오라질년"",",개싏,세뀌,쥬디,,
,네 다음 대리충,중하위권은 일본애들 많이 꼽아주고 좁밥 좀 많았음|1,미국뽀르노,,,,"""오랄"",",개싑창,세끠,지랄,,
,그래도 성실히 살아온 게이같은데 남들 한다고 결혼 한다는 생각을 했다는게 조금 의아하노 .. 뭐 나보다 인생선배에게 뭘 얘기하겠냐만 ..,그거 제일 잘하는 양쪽 옆나라로 가세요.|0,미국포르노,,,,"""오럴"",",개싘,세끼,지럴,,
,개 젖같은 상황이 발생하는구나~~~,지금의 정부는 다 계획이 있구나~|0,미니스커트,,,,"""오입"",",개시끼,세액스,지롤,,
,"ㅇㅈ 한국인이지만, 한국놈들 잘해주면 권리로 알거나 이용해먹을려고 한다.일 하는거 보면 차라리 탈북민이 의리도 있고 강직함.중세시대 스웨덴 용병같다. 고용주가 잘해주면 고마워 할 줄 알고, 자기 선을 잘 지켜준다.  이상있거나 뭐가 지시하지 않은 일 할려면 바로 해야할지 말아야할지 묻고 실행한다.그래서 더 호의를 주고 싶음.조선족은 그냥 개새끼고",메이플 오목 돈따먹기응용한거네 ㅋㅋㅋ|0,미란다성인섹스샵,,,,"""왜년"",",개시퀴,세에끼,지미랄,,
,꼬라지하고는,라떼는 말이야...공포신문 봤었는데...|0,미소걸성인용품,,,,"""왜놈"",",개시키,세에쓰,짜식,,
,"골반,엉덩이 보형물은 시발 존나 이상할듯 기본적으로 골반은 뼈인데",누군지도 모르면서 무조건 아니라고 우기고보는게|0,미소녀,,,,"""욤병"",",개식기,세엑,짜아식,,
,이래서 수시충들 극혐하는거다씹쌔끼들,연분9등법은|0,미소녀게임,,,,"""운지"",",개식끼,세퀴,쪼다,,
,"전라도 더러운 습성이 저 만화에 다 들어가 있음 남탓에 당한 놈이 빙신이지라에 악랄한 지 놈이 피해자란 피해망상에 약자에 대한 한없는 잔인함 ~ 2% 존경스런 탈라도 제외, 인간의 탈을 쓴 악마새끼들",뭐 나쁘지 않네요.. |0,미소녀섹스가이드,,,,"""유두"",",개식히,세키,쫍빱,,
,우파는 무능해서 당한거 맞아,괴물 같은 소리한다데모 안 하고 공부하면 괴물이냐?ㅋㅋㅋ|1,미스누드,,,,"""유방"",",개십,섹남,찌랄,,
,돈은 관리 더잘하는 애들이 같는게 맞지 병신아,"그말도 맞지, 상류층의 개보지와 하층민의 처녀가 동급수준으로 귀하니까|1",미스터콘돔,,,,"""육갑"",",개십새,섹녀,창녀,,
,햐~~~ 시발 욕나오네,언제부터 대검이 최씨 대변인 노릇을 한겨?|0,미스토픽닷컴,,,,"""은년"",",개십팔,섹마,캐년,,
,정보처리기사 들고있는데여기 ㅈㄴ 양심없이 끼어들수가 없는 개씹쓰레기 기사자격증 ㅇㅈ?,그래도 좌제동은 성공회대 신방과로 세탁했으니|1,미스토픽성인용품점,,,,"""을년"",",개싯기,섹보지,캐놈,,
,개최국은 자동진출.,간병?ㅋㅋㅋ|0,미시촌,,,,"""이년"",",개싯끼,섹수,캐스끼,,
,대구 짐승들은 광주한테 열등감 있나 ㅎ,"고생 끝, 행복 시작~!!|0",미쎄스터,,,,"""이새끼"",",개싯키,섹쉬,캐스키,,
,아니 쟤네 맨날 인스타 하고 맨날 싸돌아댕기는데 공부할 시간이 있나 싶어서 ㅋㅋㅋ,진짜 자한당은 하는게 없는 허수아비 정당 쓰레기 좆같은 새끼들 밥버러지 |1,미아리,,,,"""이새키"",",개싴,섹슈,캐시키,,
,누군가는 똥을 쳐야하고 내가 치기싫으니까 똥치는 사람 배려해주자 하면 될걸 존나 어렵게 써놓았노 전국의 분뇨관련 종사자들이 들고 일어나면 온국토가 똥바다 되는거지,딱짱깨럽게생걌네|1,미아리2000,,,,"""이스끼"",",개쌍넘,섹스,탱구,,
,"지방= 언어만 같은 한국말쓰는 동남아인지방과 동남아의 차이 = 방문할때 여권 필요하냐 아니냐의 차이만 있을뿐수도권으로 몰려드는 지방충이랑, 한국으로 몰려오는 조선족/동남아의 차이가 뭐냐 솔직히? 지방충들도 솔직히 똥남아,짱개랑 동급으로 취급해야함그리고 균형발전을 할게 아니라 오히려 지금보다 더 수도권을 키우고 키우고 더 키워야함글로벌 경쟁시대에 뉴욕,도쿄,런던 같은 국제도시들이나 중국 대도시들에 경쟁하려면.",정확하네 나 유치원때 유행했는데 |0,미아리588,,,,"""이스키"",",개쌍년,섹시,팔럼,,
,살아가는데 아무런 지장도 없던데? 지랄하지말고 ㅁㅈㅎ나 쳐먹어라. 인생은 어차피 자기랑 맞는 사람과 살아가면 되는거다.,"여자 형제 둔 남성 보수 성향 강해… 美조사 | 한경닷컴 - 한국경제여자 형제가 인생을 더 행복하게 만든다 - 동아일보여자 형제 없는 남성을 선호한다?_채널A_웰컴투시월드 16회여자형제와 너무 친한 남친, 이건 정말 싫어 - 싱글즈여자형제 많은 사람의 특징이 뭔가요? - - ::: 알찬살림 요리정보 ...여자형제있는 사람이 눈치빠린거 같지않나요? - - ::: 알찬살림 ...여자 형제 있는 남돌과 없는 남돌의 차이 : 네이트판|0",미아리tv,,,,"""임마"",",개쌍놈,섹파트너,퍽큐,,
,니 보고 그러는게 아니다...여기 보면 개 싸가지 새끼들 많지...노인을 공경하는것과 예의 없는 나이 많은 사람을 상대하는것은 분명 다른거지...,쓰레기통 리뷰는 처음봐서ㅠ|0,미아리섹스하리,,,,"""입싸"",",개쌍눔,섹하자,호로,,
,가장 좆만한 새끼가 존나게 깝치는 건 세계공통이냐ㅋㅋㅋ,프리시즌이랑 시즌초반때는 폼이 안좋이서 재계약도 힘들지않을까했는데 중반부터 다시 살아남ㅋㅋ클래스가 있긴있는듯|0,미아리쇼,,,,"""자슥"",",개쌍늠,섹하장,호로놈,,
,피해를 왜안줘 씹쌔끼야,찌그러져있어 넌 ㅋㅋ|0,미아리텍사스,,,,"""자지"",",개쌍연,섹할,호로새끼,,
,느그애미 수원에서 외노자 보지대주다가,빅버드 나올때 사실 내가 삭~ 도망가서 숨었음.|0,바나나TV,,,,"""잡것"",",개쌍영,섹해,호로색,,
,복귀해야되는데 집이없어서 걍 자살함,걍 부산앞바다에 빠져서 죽어라 왜 사냐?? 어휴|1,바나나티비,,,,"""잡넘"",",개쌔,섹히,호로쉑,,
,자위질하는거 보면 섬숭이랑 비슷한 수준이네.,시계 보는 게 ㅈㄴ 웃기네 ㅋㅋㅋㅋㅋㅋㅋ|1,바이엔에로,,,,"""잡년"",",개쌔꺄,섹s,호로스까이,,
,어깨 으쓱하면서 입씰룩이는거 존나 귀엽네 ㅋ,주여 이름만 외치면 구원을 주겠다는 구절도 있지????|0,밝은세상성인용품,,,,"""잡놈"",",개쌔끼,수간,호로스키,,
,그럼 땅에 뭍으라고??? 뭐 어떻게 하라고저런덴 쓰레기 수거를 안해 병신아,야 사업 다 접고 그냥 실업자 되라그래 뭔 씨발 취직을 시켜줘도 지랄이냐?|1,벗기는고스톱,,,,"""쟈지"",",개쌕,수음,후라들,,
,깡패색히.,시베리아 수용소 같은 곳인데|0,베스트성인용품,,,,"""저년"",",개쌕끼,쉑수,후래자식,,
,너가 병신이네 ㅋㅋ,저열한 민족성 미국 이승만 박정희라는 변수가 있어서 본래 민족 모습을 잠시 벗어난거였지 원래 우리 민족 본 모습은 북괴임 다시 그길로 가는게 보이잖아|1,베이비아웃성인용품,,,,"""저새끼"",",개쌰깨,쉑스,후레,,
